vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,16079,145,118.005,35
0,0,0,16080,145.237,119,35
0,0,0,16081,145,119,35.3022
0,0,0,16082,145.475,120,35
0,0,0,16083,145,120,35.606
0,0,0,16084,145.712,121,35
0,0,0,16085,145,121,35.9098
0,0,0,16086,145.95,122,35
0,0,0,16087,146,122.209,35
0,0,0,16088,146.188,123,35
0,0,0,16089,146,123,35.2404
0,0,0,16090,146.426,124,35
0,0,0,16091,146,124,35.5442
-0,-0,-0,16092,146.664,125,35
-0,-0,-0,16093,146,125,35.8479
-0,-0,-0,16094,146.902,126,35
-0,-0,-0,16095,147,126.412,35
-0,-0,-0,16096,147.14,127,35
0,0,0,16097,147,127,35.1785
0,0,0,16098,147.378,128,35
0,0,0,16099,147,128,35.4823
0,0,0,16100,147.616,129,35
0,0,0,16101,147,129,35.7861
0,0,0,16102,147.853,130,35
0,0,0,16103,148,130.616,35
0,0,0,16104,148.091,131,35
0,0,0,16105,148,131,35.1166
0,0,0,16106,148.329,132,35
0,0,0,16107,148,132,35.4204
0,0,0,16108,148.567,133,35
0,0,0,16109,148,133,35.7242
0,0,0,16110,148.805,134,35
0,0,0,16111,149,134.82,35
0,0,0,16112,149.043,135,35
0,0,0,16113,149,135,35.0548
0,0,0,16114,149.281,136,35
0,0,0,16115,149,136,35.3586
0,0,0,16116,149.519,137,35
0,0,0,16117,149,137,35.6623
0,0,0,16118,149.757,138,35
0,0,0,16119,149,138,35.9661
0,0,0,16120,149.994,139,35
0,0,0,16519,143.502,115,36
0,0,0,16521,143.74,116,36
0,0,0,16522,143,116,36.9449
0,0,0,16523,143.978,117,36
0,0,0,16524,144,117.093,36
0,0,0,16525,144.216,118,36
0,0,0,16526,144,118,36.2755
0,0,0,16527,144.454,119,36
0,0,0,16528,144,119,36.5792
0,0,0,16529,144.691,120,36
0,0,0,16530,144,120,36.883
0,0,0,16531,144.929,121,36
0,0,0,16532,145,121.297,36
0,0,0,16533,145.167,122,36
0,0,0,16534,145,122,36.2136
0,0,0,16535,145.405,123,36
0,0,0,16536,145,123,36.5174
0,0,0,16537,145.643,124,36
0,0,0,16538,145,124,36.8212
-0,-0,-0,16539,145.881,125,36
-0,-0,-0,16540,146,125.501,36
-0,-0,-0,16541,146.119,126,36
0,0,0,16542,146,126,36.1517
0,0,0,16543,146.357,127,36
0,0,0,16544,146,127,36.4555
0,0,0,16545,146.595,128,36
0,0,0,16546,146,128,36.7593
0,0,0,16547,146.832,129,36
0,0,0,16548,147,129.704,36
0,0,0,16549,147.07,130,36
0,0,0,16550,147,130,36.0899
0,0,0,16551,147.308,131,36
0,0,0,16552,147,131,36.3936
0,0,0,16553,147.546,132,36
0,0,0,16554,147,132,36.6974
0,0,0,16555,147.784,133,36
0,0,0,16556,148,133.908,36
0,0,0,16557,148.022,134,36
0,0,0,16558,148,134,36.028
0,0,0,16559,148.26,135,36
0,0,0,16560,148,135,36.3318
0,0,0,16561,148.498,136,36
0,0,0,16562,148,136,36.6356
0,0,0,16563,148.736,137,36
0,0,0,16564,148,137,36.9393
0,0,0,16566,149,138.112,36
0,0,0,16567,149.211,139,36
0,0,0,16885,143,116.181,37
0,0,0,16886,143.195,117,37
0,0,0,16887,143.433,118,37
0,0,0,16888,143.671,119,37
0,0,0,16889,143.908,120,37
0,0,0,16890,144,120.385,37
