vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0.0283891,-0.0519897,0.255339,3972,110.664,121,13
0.0438627,-0.054172,0.305817,3973,110.789,122,13
0.0564843,-0.0673919,0.347861,3974,110.914,123,13
0.0545756,-0.0459506,0.338903,3975,111,123.688,13
0.0537083,-0.0362075,0.334833,3976,111.039,124,13
0.0486526,-0.0571209,0.337561,3977,111,124,13.2094
0.021499,-0.00051051,0.248308,3978,111.164,125,13
-0.0139663,-0.102878,0.260005,3979,111,125,13.8796
-0.00648171,0.0549676,0.199489,3980,111.289,126,13
-0.010362,0.0700652,0.139379,3981,111.414,127,13
-0.0184433,0.0763321,0.0575237,3982,111.538,128,13
-0.042481,0.0624662,-0.043762,3983,111.663,129,13
-0.0169017,0.0926289,-0.0820458,3984,111.788,130,13
0.0175416,0.0936973,-0.114157,3985,111.913,131,13
0.0743448,0.0936973,-0.122724,3986,112,131.698,13
0.100897,0.0936973,-0.126391,3987,112.038,132,13
0.0967726,0.0676672,-0.128747,3988,112,132,13.2024
0.129586,0.050105,-0.144297,3989,112.163,133,13
0.117751,-0.0277416,-0.151546,3990,112,133,13.8726
0.180564,0.0431731,-0.191722,3991,112.287,134,13
0.243186,0.00216803,-0.228339,3992,112.412,135,13
0.276632,-0.0115688,-0.290397,3993,112.537,136,13
0.308932,-0.0317259,-0.337079,3994,112.662,137,13
0.315138,-0.0472596,-0.351643,3995,112.787,138,13
0.294638,-0.038037,-0.346222,3996,112.912,139,13
0.0847286,-0.011094,-0.0998248,3997,113,139.708,13
0,0,0,3998,113.036,140,13
0,0,0,3999,113,140,13.1955
0,0,0,4000,113.161,141,13
0,0,0,4001,113,141,13.8656
0,0,0,4002,113.286,142,13
0,0,0,4003,113.411,143,13
0,0,0,4004,113.536,144,13
0,0,0,4005,113.661,145,13
0,0,0,4006,113.785,146,13
0,0,0,4007,113.91,147,13
0,0,0,4008,114,147.719,13
0,0,0,4009,114.035,148,13
0,0,0,4010,114,148,13.1885
0,0,0,4011,114.16,149,13
0,0,0,4012,114,149,13.8587
0,0,0,4013,114.285,150,13
0,0,0,4014,114.41,151,13
0,0,0,4015,114.534,152,13
0,0,0,4248,108.855,108,14
0,0,0,4249,108.98,109,14
0,0,0,4250,109,109.159,14
0,0,0,4251,109.105,110,14
0,0,0,4252,109,110,14.5637
0,0,0,4253,109.23,111,14
0,0,0,4254,109.355,112,14
0,0,0,4255,109.48,113,14
0,0,0,4256,109.604,114,14
0,0,0,4257,109.729,115,14
0,0,0,4258,109.854,116,14
0,0,0,4259,109.979,117,14
0,0,0,4260,110,117.169,14
0,0,0,4261,110.104,118,14
0,0,0,4262,110,118,14.5567
0,0,0,4263,110.229,119,14
0,0,0,4264,110.353,120,14
